origin_country,origin_iata,dest_country,dest_iata,departure,arrival,duration_minutes,stop_count,carriers,price_eur_won,price_eur,segment_count,itinerary_id,,,,
FR,CDG,IT,FCO,2026-06-01T14:25:00,2026-06-01T16:35:00,130,0,Air France,547345.2,311.7,10413-2606011425--32677-0-11493-2606011635,,,,,
FR,CDG,IT,FCO,2026-06-01T10:10:00,2026-06-01T15:50:00,340,1,Vueling Airlines,245541.48,139.83,10413-2606011010--31685-1-11493-2606011550,,,,,
FR,CDG,IT,FCO,2026-06-01T11:20:00,2026-06-01T17:50:00,390,1,Lufthansa,260625.52,148.42,10413-2606011120--32090-1-11493-2606011750,,,,,
FR,CDG,IT,FCO,2026-06-01T06:00:00,2026-06-01T13:35:00,455,1,easyJet,201975.12,115.02,10413-2606010600--32356-1-11493-2606011335,,,,,
FR,CDG,IT,FCO,2026-06-01T14:25:00,2026-06-01T18:15:00,230,1,Lufthansa,343877.48,195.83,10413-2606011425--32090-1-11493-2606011815,,,,,
FR,CDG,IT,FCO,2026-06-01T14:30:00,2026-06-01T18:45:00,255,1,KLM,363175.92,206.82,10413-2606011430--32132-1-11493-2606011845,,,,,
FR,CDG,IT,FCO,2026-06-01T16:05:00,2026-06-01T23:40:00,455,1,"Vueling Airlines, Wizz Air Malta",173844,99,"10413-2606011605--31685,-30596-1-11493-2606012340",,,,,
FR,CDG,IT,FCO,2026-06-01T13:35:00,2026-06-01T21:15:00,460,1,Vueling Airlines,221291.12,126.02,10413-2606011335--31685-1-11493-2606012115,,,,,
FR,CDG,IT,FCO,2026-06-01T09:50:00,2026-06-01T17:50:00,480,1,Lufthansa,260625.52,148.42,10413-2606010950--32090-1-11493-2606011750,,,,,
FR,CDG,IT,FCO,2026-06-01T14:35:00,2026-06-01T20:25:00,350,1,Lufthansa,313604.04,178.59,10413-2606011435--32090-1-11493-2606012025,,,,,
FR,CDG,IT,FCO,2026-06-01T11:25:00,2026-06-01T16:30:00,305,1,"Air France, Ryanair",302137.36,172.06,"10413-2606011125--32677,-31915-1-11493-2606011630",,,,,
FR,CDG,IT,FCO,2026-06-01T11:45:00,2026-06-01T16:25:00,280,1,KLM,406197.92,231.32,10413-2606011145--32132-1-11493-2606011625,,,,,
FR,CDG,IT,FCO,2026-06-01T08:25:00,2026-06-01T15:50:00,445,1,Condor,258114.44,146.99,10413-2606010825--32415-1-11493-2606011550,,,,,
FR,CDG,IT,FCO,2026-06-01T10:45:00,2026-06-01T17:50:00,425,1,Lufthansa,304824.04,173.59,10413-2606011045--32090-1-11493-2606011750,,,,,
FR,CDG,IT,FCO,2026-06-01T07:45:00,2026-06-01T13:15:00,330,1,Smart Wings,322823.04,183.84,10413-2606010745--31845-1-11493-2606011315,,,,,
FR,CDG,IT,FCO,2026-06-01T08:30:00,2026-06-01T17:10:00,520,1,Brussels Airlines,283980.32,161.72,10413-2606010830--32478-1-11493-2606011710,,,,,
FR,CDG,IT,FCO,2026-06-01T09:40:00,2026-06-01T16:25:00,405,1,KLM,330408.96,188.16,10413-2606010940--32132-1-11493-2606011625,,,,,
FR,CDG,IT,FCO,2026-06-01T14:35:00,2026-06-01T23:10:00,515,1,Lufthansa,260625.52,148.42,10413-2606011435--32090-1-11493-2606012310,,,,,
FR,CDG,IT,FCO,2026-06-01T09:50:00,2026-06-01T14:05:00,255,1,Lufthansa,492874.08,280.68,10413-2606010950--32090-1-11493-2606011405,,,,,
FR,CDG,IT,FCO,2026-06-01T07:45:00,2026-06-01T14:05:00,380,1,Lufthansa,358101.08,203.93,10413-2606010745--32090-1-11493-2606011405,,,,,
FR,CDG,IT,FCO,2026-06-01T17:50:00,2026-06-01T22:45:00,295,1,KLM,414257.96,235.91,10413-2606011750--32132-1-11493-2606012245,,,,,
FR,CDG,IT,FCO,2026-06-01T10:10:00,2026-06-01T21:15:00,665,1,Vueling Airlines,234917.68,133.78,10413-2606011010--31685-1-11493-2606012115,,,,,
FR,CDG,IT,FCO,2026-06-01T08:55:00,2026-06-01T16:25:00,450,1,KLM,330408.96,188.16,10413-2606010855--32132-1-11493-2606011625,,,,,
FR,CDG,IT,FCO,2026-06-01T16:00:00,2026-06-01T22:40:00,400,1,British Airways,398366.16,226.86,10413-2606011600--32480-1-11493-2606012240,,,,,
FR,CDG,IT,FCO,2026-06-01T08:55:00,2026-06-01T18:45:00,590,1,KLM,277360.2,157.95,10413-2606010855--32132-1-11493-2606011845,,,,,
FR,CDG,IT,FCO,2026-06-01T14:30:00,2026-06-01T22:45:00,495,1,KLM,306158.6,174.35,10413-2606011430--32132-1-11493-2606012245,,,,,
FR,CDG,IT,FCO,2026-06-01T07:10:00,2026-06-01T11:45:00,275,1,KLM,532471.88,303.23,10413-2606010710--32132-1-11493-2606011145,,,,,
FR,CDG,IT,FCO,2026-06-01T18:45:00,2026-06-01T23:10:00,265,1,Lufthansa,468290.08,266.68,10413-2606011845--32090-1-11493-2606012310,,,,,
FR,CDG,IT,FCO,2026-06-01T14:30:00,2026-06-01T18:45:00,255,1,"Air France, KLM",449676.48,256.08,"10413-2606011430--32677,-32132-1-11493-2606011845",,,,,
FR,CDG,IT,FCO,2026-06-01T16:20:00,2026-06-01T22:45:00,385,1,KLM,381052,217,10413-2606011620--32132-1-11493-2606012245,,,,,
FR,CDG,IT,FCO,2026-06-01T18:20:00,2026-06-01T23:45:00,325,1,British Airways,498247.44,283.74,10413-2606011820--32480-1-11493-2606012345,,,,,
FR,CDG,IT,FCO,2026-06-01T09:50:00,2026-06-01T20:10:00,620,1,KM Malta Airlines,289494.16,164.86,10413-2606010950--30510-1-11493-2606012010,,,,,
FR,CDG,IT,FCO,2026-06-01T15:00:00,2026-06-01T19:25:00,265,1,SWISS,577407.92,328.82,10413-2606011500--31799-1-11493-2606011925,,,,,
FR,CDG,IT,FCO,2026-06-01T09:50:00,2026-06-01T18:35:00,525,1,Scandinavian Airlines,328372,187,10413-2606010950--31901-1-11493-2606011835,,,,,
FR,CDG,IT,FCO,2026-06-01T20:25:00,2026-06-02T08:20:00,715,1,Vueling Airlines,244013.76,138.96,10413-2606012025--31685-1-11493-2606020820,,,,,
FR,CDG,IT,FCO,2026-06-01T18:00:00,2026-06-01T22:00:00,240,1,Lufthansa,566485.6,322.6,10413-2606011800--32090-1-11493-2606012200,,,,,
FR,CDG,IT,FCO,2026-06-01T09:45:00,2026-06-01T14:20:00,275,1,SWISS,647770.84,368.89,10413-2606010945--31799-1-11493-2606011420,,,,,
FR,CDG,IT,FCO,2026-06-01T17:50:00,2026-06-01T22:45:00,295,1,"Air France, KLM",439526.8,250.3,"10413-2606011750--32677,-32132-1-11493-2606012245",,,,,
FR,CDG,IT,FCO,2026-06-01T11:45:00,2026-06-01T16:25:00,280,1,"Air France, KLM",530470.04,302.09,"10413-2606011145--32677,-32132-1-11493-2606011625",,,,,
FR,CDG,IT,FCO,2026-06-01T06:25:00,2026-06-01T11:50:00,325,1,Lufthansa,577565.96,328.91,10413-2606010625--32090-1-11493-2606011150,,,,,
FR,CDG,IT,FCO,2026-06-01T07:10:00,2026-06-01T11:45:00,275,1,"Air France, KLM",617831.04,351.84,"10413-2606010710--32677,-32132-1-11493-2606011145",,,,,
FR,CDG,IT,FCO,2026-06-01T14:35:00,2026-06-01T20:25:00,350,2,"Lufthansa, ITA Airways",535018.08,304.68,"10413-2606011435--32090,-30727-2-11493-2606012025",,,,,
FR,CDG,IT,FCO,2026-06-01T08:30:00,2026-06-01T13:40:00,310,1,Brussels Airlines,630087.92,358.82,10413-2606010830--32478-1-11493-2606011340,,,,,
FR,CDG,IT,FCO,2026-06-01T15:55:00,2026-06-01T20:40:00,285,1,Austrian Airlines,686086.76,390.71,10413-2606011555--32544-1-11493-2606012040,,,,,
FR,CDG,IT,FCO,2026-06-01T18:50:00,2026-06-02T00:15:00,325,1,Iberia,602992.84,343.39,10413-2606011850--32222-1-11493-2606020015,,,,,
FR,CDG,IT,FCO,2026-06-01T09:55:00,2026-06-01T13:40:00,225,1,"Brussels Airlines, ITA Airways",882109.04,502.34,"10413-2606010955--32478,-30727-1-11493-2606011340",,,,,
FR,CDG,IT,FCO,2026-06-01T12:15:00,2026-06-01T18:45:00,390,1,KLM,509257.56,290.01,10413-2606011215--32132-1-11493-2606011845,,,,,
FR,CDG,IT,FCO,2026-06-01T08:55:00,2026-06-01T22:45:00,830,1,KLM,239465.72,136.37,10413-2606010855--32132-1-11493-2606012245,,,,,
FR,CDG,IT,FCO,2026-06-01T09:35:00,2026-06-01T18:35:00,540,1,Scandinavian Airlines,368303.44,209.74,10413-2606010935--31901-1-11493-2606011835,,,,,
FR,CDG,IT,FCO,2026-06-01T12:45:00,2026-06-01T18:15:00,330,1,Iberia,602992.84,343.39,10413-2606011245--32222-1-11493-2606011815,,,,,
FR,CDG,IT,FCO,2026-06-01T07:45:00,2026-06-01T12:30:00,285,1,Lufthansa,700468.4,398.9,10413-2606010745--32090-1-11493-2606011230,,,,,
FR,CDG,IT,FCO,2026-06-01T11:45:00,2026-06-01T22:45:00,660,1,KLM,306158.6,174.35,10413-2606011145--32132-1-11493-2606012245,,,,,
FR,CDG,IT,FCO,2026-06-01T07:45:00,2026-06-01T13:40:00,355,1,Lufthansa,575897.76,327.96,10413-2606010745--32090-1-11493-2606011340,,,,,
FR,CDG,IT,FCO,2026-06-01T12:15:00,2026-06-01T22:45:00,630,1,KLM,327371.08,186.43,10413-2606011215--32132-1-11493-2606012245,,,,,
FR,CDG,IT,FCO,2026-06-01T09:40:00,2026-06-01T22:45:00,785,1,KLM,263716.08,150.18,10413-2606010940--32132-1-11493-2606012245,,,,,
FR,CDG,IT,FCO,2026-06-01T07:45:00,2026-06-01T17:50:00,605,1,Lufthansa,342981.92,195.32,10413-2606010745--32090-1-11493-2606011750,,,,,
FR,CDG,IT,FCO,2026-06-01T06:45:00,2026-06-01T12:25:00,340,1,SWISS,630386.44,358.99,10413-2606010645--31799-1-11493-2606011225,,,,,
FR,CDG,IT,FCO,2026-06-01T12:05:00,2026-06-01T17:10:00,305,1,Croatia Airlines,709318.64,403.94,10413-2606011205--32401-1-11493-2606011710,,,,,
FR,CDG,IT,FCO,2026-06-01T12:00:00,2026-06-01T18:15:00,375,1,Lufthansa,577565.96,328.91,10413-2606011200--32090-1-11493-2606011815,,,,,
FR,CDG,IT,FCO,2026-06-01T06:45:00,2026-06-01T14:20:00,455,1,SWISS,487974.84,277.89,10413-2606010645--31799-1-11493-2606011420,,,,,
FR,CDG,IT,FCO,2026-06-01T08:55:00,2026-06-01T16:25:00,450,1,"Air France, KLM",507185.48,288.83,"10413-2606010855--32677,-32132-1-11493-2606011625",,,,,
FR,CDG,IT,FCO,2026-06-01T07:45:00,2026-06-01T16:40:00,535,1,Royal Air Maroc,431958.44,245.99,10413-2606010745--31927-1-11493-2606011640,,,,,
FR,CDG,IT,FCO,2026-06-01T14:55:00,2026-06-01T22:40:00,465,1,British Airways,498247.44,283.74,10413-2606011455--32480-1-11493-2606012240,,,,,
FR,CDG,IT,FCO,2026-06-01T09:00:00,2026-06-01T15:05:00,365,1,Lufthansa,642590.64,365.94,10413-2606010900--32090-1-11493-2606011505,,,,,
FR,CDG,IT,FCO,2026-06-01T08:15:00,2026-06-01T16:25:00,490,1,KLM,488413.84,278.14,10413-2606010815--32132-1-11493-2606011625,,,,,
FR,CDG,IT,FCO,2026-06-01T07:10:00,2026-06-01T16:25:00,555,1,KLM,433468.6,246.85,10413-2606010710--32132-1-11493-2606011625,,,,,
FR,CDG,IT,FCO,2026-06-01T11:55:00,2026-06-01T17:05:00,310,1,British Airways,776749.04,442.34,10413-2606011155--32480-1-11493-2606011705,,,,,
FR,CDG,IT,FCO,2026-06-01T08:15:00,2026-06-01T18:45:00,630,1,KLM,383457.72,218.37,10413-2606010815--32132-1-11493-2606011845,,,,,
FR,CDG,IT,FCO,2026-06-01T10:35:00,2026-06-01T15:50:00,315,1,British Airways,776749.04,442.34,10413-2606011035--32480-1-11493-2606011550,,,,,
FR,CDG,IT,FCO,2026-06-01T09:55:00,2026-06-01T17:10:00,435,1,Brussels Airlines,566696.32,322.72,10413-2606010955--32478-1-11493-2606011710,,,,,
FR,CDG,IT,FCO,2026-06-01T07:50:00,2026-06-01T14:35:00,405,1,British Airways,619341.2,352.7,10413-2606010750--32480-1-11493-2606011435,,,,,
FR,CDG,IT,FCO,2026-06-01T21:35:00,2026-06-02T10:05:00,750,1,British Airways,345089.12,196.52,10413-2606012135--32480-1-11493-2606021005,,,,,
FR,CDG,IT,FCO,2026-06-01T08:15:00,2026-06-01T16:25:00,490,1,"Air France, KLM",533068.92,303.57,"10413-2606010815--32677,-32132-1-11493-2606011625",,,,,
FR,CDG,IT,FCO,2026-06-01T06:45:00,2026-06-01T19:25:00,760,1,SWISS,345229.6,196.6,10413-2606010645--31799-1-11493-2606011925,,,,,
FR,CDG,IT,FCO,2026-06-01T19:40:00,2026-06-02T08:50:00,790,1,SWISS,336607.64,191.69,10413-2606011940--31799-1-11493-2606020850,,,,,
FR,CDG,IT,FCO,2026-06-01T06:25:00,2026-06-01T18:15:00,710,1,Lufthansa,375731.32,213.97,10413-2606010625--32090-1-11493-2606011815,,,,,
FR,CDG,IT,FCO,2026-06-01T21:20:00,2026-06-02T08:35:00,675,1,Aegean Airlines,397453.04,226.34,10413-2606012120--32756-1-11493-2606020835,,,,,
FR,CDG,IT,FCO,2026-06-01T09:55:00,2026-06-01T13:40:00,225,1,Brussels Airlines,1209462.56,688.76,10413-2606010955--32478-1-11493-2606011340,,,,,
FR,CDG,IT,FCO,2026-06-01T20:15:00,2026-06-02T11:05:00,890,1,Scandinavian Airlines,306158.6,174.35,10413-2606012015--31901-1-11493-2606021105,,,,,
FR,CDG,IT,FCO,2026-06-01T07:10:00,2026-06-01T22:45:00,935,1,KLM,303120.72,172.62,10413-2606010710--32132-1-11493-2606012245,,,,,
FR,CDG,IT,FCO,2026-06-01T19:55:00,2026-06-02T09:05:00,790,1,Lufthansa,359505.88,204.73,10413-2606011955--32090-1-11493-2606020905,,,,,
FR,CDG,IT,FCO,2026-06-01T09:55:00,2026-06-01T16:55:00,420,1,Austrian Airlines,686086.76,390.71,10413-2606010955--32544-1-11493-2606011655,,,,,
FR,CDG,IT,FCO,2026-06-01T10:15:00,2026-06-01T16:25:00,370,1,KLM,801772.04,456.59,10413-2606011015--32132-1-11493-2606011625,,,,,
FR,CDG,IT,FCO,2026-06-01T10:30:00,2026-06-01T19:20:00,530,1,Scandinavian Airlines,565432,322,10413-2606011030--31901-1-11493-2606011920,,,,,
FR,CDG,IT,FCO,2026-06-01T14:35:00,2026-06-01T20:30:00,355,1,Air Europa,878948.24,500.54,10413-2606011435--32680-1-11493-2606012030,,,,,
FR,CDG,IT,FCO,2026-06-01T14:05:00,2026-06-01T21:30:00,445,1,Aegean Airlines,703190.2,400.45,10413-2606011405--32756-1-11493-2606012130,,,,,
FR,CDG,IT,FCO,2026-06-01T10:45:00,2026-06-01T18:00:00,435,1,Finnair,720118.04,410.09,10413-2606011045--32317-1-11493-2606011800,,,,,
FR,CDG,IT,FCO,2026-06-01T08:20:00,2026-06-01T19:15:00,655,1,Eurowings,481969.32,274.47,10413-2606010820--32332-1-11493-2606011915,,,,,
FR,CDG,IT,FCO,2026-06-01T12:50:00,2026-06-01T20:05:00,435,1,Luxair,732058.84,416.89,10413-2606011250--32086-1-11493-2606012005,,,,,
FR,CDG,IT,FCO,2026-06-01T16:15:00,2026-06-01T20:35:00,260,1,SWISS,1232676.88,701.98,10413-2606011615--31799-1-11493-2606012035,,,,,
FR,CDG,IT,FCO,2026-06-01T10:35:00,2026-06-01T19:20:00,525,1,British Airways,619341.2,352.7,10413-2606011035--32480-1-11493-2606011920,,,,,
FR,CDG,IT,FCO,2026-06-01T07:20:00,2026-06-01T18:35:00,675,1,Scandinavian Airlines,481670.8,274.3,10413-2606010720--31901-1-11493-2606011835,,,,,
FR,CDG,IT,FCO,2026-06-01T07:45:00,2026-06-01T16:10:00,505,2,"Lufthansa, ITA Airways",657780.04,374.59,"10413-2606010745--32090,-30727-2-11493-2606011610",,,,,
FR,CDG,IT,FCO,2026-06-01T09:55:00,2026-06-01T17:10:00,435,1,"Brussels Airlines, ITA Airways",785107.6,447.1,"10413-2606010955--32478,-30727-1-11493-2606011710",,,,,
FR,CDG,IT,FCO,2026-06-01T07:05:00,2026-06-01T16:55:00,590,1,Austrian Airlines,578970.76,329.71,10413-2606010705--32544-1-11493-2606011655,,,,,
FR,CDG,IT,FCO,2026-06-01T20:15:00,2026-06-02T09:35:00,800,1,KLM,427410.4,243.4,10413-2606012015--32132-1-11493-2606020935,,,,,
FR,CDG,IT,FCO,2026-06-01T08:30:00,2026-06-01T13:10:00,280,1,SWISS,1232676.88,701.98,10413-2606010830--31799-1-11493-2606011310,,,,,
FR,CDG,IT,FCO,2026-06-01T18:40:00,2026-06-02T09:35:00,895,1,KLM,386495.6,220.1,10413-2606011840--32132-1-11493-2606020935,,,,,
FR,CDG,IT,FCO,2026-06-01T09:00:00,2026-06-01T22:00:00,780,1,Lufthansa,443776.32,252.72,10413-2606010900--32090-1-11493-2606012200,,,,,
FR,CDG,IT,FCO,2026-06-01T06:25:00,2026-06-01T22:00:00,935,1,Lufthansa,370428.2,210.95,10413-2606010625--32090-1-11493-2606012200,,,,,
FR,CDG,IT,FCO,2026-06-01T11:50:00,2026-06-01T19:55:00,485,1,Norwegian,721435.04,410.84,10413-2606011150--32013-1-11493-2606011955,,,,,
FR,CDG,IT,FCO,2026-06-01T16:50:00,2026-06-02T08:10:00,920,1,ITA Airways,384370.84,218.89,10413-2606011650--30727-1-11493-2606020810,,,,,
FR,CDG,IT,FCO,2026-06-01T07:20:00,2026-06-01T18:25:00,665,1,Turkish Airlines,558144.6,317.85,10413-2606010720--31734-1-11493-2606011825,,,,,
FR,CDG,IT,FCO,2026-06-01T10:35:00,2026-06-01T22:40:00,725,1,British Airways,519863.8,296.05,10413-2606011035--32480-1-11493-2606012240,,,,,
FR,CDG,IT,FCO,2026-06-01T17:50:00,2026-06-02T09:35:00,945,1,KLM,410745.96,233.91,10413-2606011750--32132-1-11493-2606020935,,,,,
FR,CDG,IT,FCO,2026-06-01T11:55:00,2026-06-01T22:40:00,645,1,British Airways,619341.2,352.7,10413-2606011155--32480-1-11493-2606012240,,,,,
FR,CDG,IT,FCO,2026-06-01T07:50:00,2026-06-01T22:40:00,890,1,British Airways,450449.12,256.52,10413-2606010750--32480-1-11493-2606012240,,,,,
FR,CDG,IT,FCO,2026-06-01T09:50:00,2026-06-01T17:10:00,440,2,"Lufthansa, ITA Airways",924534,526.5,"10413-2606010950--32090,-30727-2-11493-2606011710",,,,,
FR,CDG,IT,FCO,2026-06-01T07:10:00,2026-06-01T13:10:00,360,1,SWISS,1232676.88,701.98,10413-2606010710--31799-1-11493-2606011310,,,,,
FR,CDG,IT,FCO,2026-06-01T06:45:00,2026-06-01T16:25:00,580,2,"SWISS, ITA Airways",779997.64,444.19,"10413-2606010645--31799,-30727-2-11493-2606011625",,,,,
FR,CDG,IT,FCO,2026-06-01T09:35:00,2026-06-01T20:05:00,630,1,Luxair,730531.12,416.02,10413-2606010935--32086-1-11493-2606012005,,,,,
FR,CDG,IT,FCO,2026-06-01T21:00:00,2026-06-02T11:05:00,845,1,Scandinavian Airlines,546080.88,310.98,10413-2606012100--31901-1-11493-2606021105,,,,,
FR,CDG,IT,FCO,2026-06-01T11:15:00,2026-06-01T19:55:00,520,1,Aer Lingus,892048,508,10413-2606011115--32753-1-11493-2606011955,,,,,
FR,CDG,IT,FCO,2026-06-01T19:40:00,2026-06-02T12:05:00,985,2,"SWISS, ITA Airways",476490.6,271.35,"10413-2606011940--31799,-30727-2-11493-2606021205",,,,,
FR,CDG,IT,FCO,2026-06-01T20:15:00,2026-06-02T08:10:00,715,1,Austrian Airlines,671424.16,382.36,10413-2606012015--32544-1-11493-2606020810,,,,,
FR,CDG,IT,FCO,2026-06-01T21:00:00,2026-06-02T09:30:00,750,1,Air Europa,656269.88,373.73,10413-2606012100--32680-1-11493-2606020930,,,,,
FR,CDG,IT,FCO,2026-06-01T10:20:00,2026-06-01T19:55:00,575,1,Aer Lingus,857507.48,488.33,10413-2606011020--32753-1-11493-2606011955,,,,,
FR,CDG,IT,FCO,2026-06-01T07:05:00,2026-06-01T16:25:00,560,2,"Austrian Airlines, ITA Airways",891398.28,507.63,"10413-2606010705--32544,-30727-2-11493-2606011625",,,,,
FR,CDG,IT,FCO,2026-06-01T14:00:00,2026-06-02T11:05:00,1265,1,Scandinavian Airlines,400736.76,228.21,10413-2606011400--31901-1-11493-2606021105,,,,,
FR,CDG,IT,FCO,2026-06-01T16:10:00,2026-06-01T23:35:00,445,1,Turkish Airlines,1164017.28,662.88,10413-2606011610--31734-1-11493-2606012335,,,,,
FR,CDG,IT,FCO,2026-06-01T20:15:00,2026-06-02T18:45:00,1350,1,KLM,386495.6,220.1,10413-2606012015--32132-1-11493-2606021845,,,,,
FR,CDG,IT,FCO,2026-06-01T16:50:00,2026-06-02T17:10:00,1460,1,ITA Airways,362245.24,206.29,10413-2606011650--30727-1-11493-2606021710,,,,,
FR,CDG,IT,FCO,2026-06-01T21:00:00,2026-06-02T15:05:00,1085,1,Lufthansa,488027.52,277.92,10413-2606012100--32090-1-11493-2606021505,,,,,
FR,CDG,IT,FCO,2026-06-01T21:40:00,2026-06-02T13:30:00,950,1,Air Algerie,568364.52,323.67,10413-2606012140--32717-1-11493-2606021330,,,,,
FR,CDG,IT,FCO,2026-06-01T19:55:00,2026-06-02T12:20:00,985,2,"Lufthansa, ITA Airways",565712.96,322.16,"10413-2606011955--32090,-30727-2-11493-2606021220",,,,,
FR,CDG,IT,FCO,2026-06-01T10:15:00,2026-06-02T07:55:00,1300,1,Bulgaria Air,428920.56,244.26,10413-2606011015--32474-1-11493-2606020755,,,,,
FR,CDG,IT,FCO,2026-06-01T09:15:00,2026-06-01T15:45:00,390,1,Air Europa,1432088.24,815.54,10413-2606010915--32680-1-11493-2606011545,,,,,
FR,CDG,IT,FCO,2026-06-01T09:55:00,2026-06-01T13:40:00,225,1,"Brussels Airlines, Bulgaria Air",2528078.08,1439.68,"-32474-1-11493-2606011340""",,,,,
FR,CDG,IT,FCO,2026-06-01T20:15:00,2026-06-02T13:15:00,1020,1,Smart Wings,563816.48,321.08,10413-2606012015--31845-1-11493-2606021315,,,,,
FR,CDG,IT,FCO,2026-06-01T17:55:00,2026-06-02T08:10:00,855,1,Austrian Airlines,674462.04,384.09,10413-2606011755--32544-1-11493-2606020810,,,,,
FR,CDG,IT,FCO,2026-06-01T20:35:00,2026-06-02T13:30:00,1015,1,Air Algerie,571402.4,325.4,10413-2606012035--32717-1-11493-2606021330,,,,,
FR,CDG,IT,FCO,2026-06-01T12:35:00,2026-06-01T16:25:00,230,1,Air France,2535664,1444," Condor""",1496.65,"1,497 ??,2,10413-2606011120--32090","-32415-1-11493-2606011550""",,
FR,CDG,IT,FCO,2026-06-01T19:45:00,2026-06-02T09:20:00,815,1,Turkish Airlines,874523.12,498.02,10413-2606011945--31734-1-11493-2606020920,,,,,
FR,CDG,IT,FCO,2026-06-01T07:05:00,2026-06-02T08:10:00,1505,1,Austrian Airlines,486306.64,276.94,10413-2606010705--32544-1-11493-2606020810,,,,,
FR,CDG,IT,FCO,2026-06-01T15:30:00,2026-06-02T13:30:00,1320,1,Air Algerie,571402.4,325.4,10413-2606011530--32717-1-11493-2606021330,,,,,
FR,CDG,IT,FCO,2026-06-01T16:50:00,2026-06-02T11:05:00,1095,1,Scandinavian Airlines,698659.72,397.87,10413-2606011650--31901-1-11493-2606021105,,,,,
FR,CDG,IT,FCO,2026-06-01T08:30:00,2026-06-02T07:25:00,1375,2,"Brussels Airlines, ITA Airways",559268.44,318.49,"10413-2606010830--32478,-30727-2-11493-2606020725",,,,,
FR,CDG,IT,FCO,2026-06-01T08:30:00,2026-06-01T13:40:00,310,1,"Brussels Airlines, Bulgaria Air",2543232.36,1448.31,"-32474-1-11493-2606011340""",,,,,
FR,CDG,IT,FCO,2026-06-01T10:45:00,2026-06-01T15:50:00,305,1,"Lufthansa, Condor",2644781.84,1506.14,"-32415-1-11493-2606011550""",,,,,
FR,CDG,IT,FCO,2026-06-01T07:20:00,2026-06-01T12:05:00,285,1,Air France,2896381.52,1649.42,654 ??,2,10413-2606011135--32677-1-11493-2606011625,,,
FR,CDG,IT,FCO,2026-06-01T11:35:00,2026-06-01T23:35:00,720,1,Turkish Airlines,1173095.8,668.05,10413-2606011135--31734-1-11493-2606012335,,,,,
FR,CDG,IT,FCO,2026-06-01T12:50:00,2026-06-02T13:30:00,1480,1,Air Algerie,571402.4,325.4,10413-2606011250--32717-1-11493-2606021330,,,,,
