origin_country,origin_iata,dest_country,dest_iata,departure,arrival,duration_minutes,stop_count,carriers,price_eur,price_formatted,segment_count,itinerary_id
FR,CDG,IT,FCO,2026-06-01T09:00:00,2026-06-01T15:05:00,365,1,Lufthansa,365.43,366 €,2,10413-2606010900--32090-1-11493-2606011505
FR,CDG,IT,FCO,2026-06-01T08:15:00,2026-06-01T16:25:00,490,1,KLM,278.14,279 €,2,10413-2606010815--32132-1-11493-2606011625
FR,CDG,IT,FCO,2026-06-01T11:55:00,2026-06-01T17:05:00,310,1,British Airways,442.34,443 €,2,10413-2606011155--32480-1-11493-2606011705
FR,CDG,IT,FCO,2026-06-01T10:35:00,2026-06-01T15:50:00,315,1,British Airways,442.34,443 €,2,10413-2606011035--32480-1-11493-2606011550
FR,CDG,IT,FCO,2026-06-01T06:45:00,2026-06-01T14:20:00,455,1,SWISS,306.89,307 €,2,10413-2606010645--31799-1-11493-2606011420
FR,CDG,IT,FCO,2026-06-01T09:55:00,2026-06-01T17:10:00,435,1,Brussels Airlines,322.72,323 €,2,10413-2606010955--32478-1-11493-2606011710
FR,CDG,IT,FCO,2026-06-01T07:50:00,2026-06-01T14:35:00,405,1,British Airways,352.7,353 €,2,10413-2606010750--32480-1-11493-2606011435
FR,CDG,IT,FCO,2026-06-01T21:35:00,2026-06-02T10:05:00,750,1,British Airways,196.25,197 €,2,10413-2606012135--32480-1-11493-2606021005
FR,CDG,IT,FCO,2026-06-01T08:15:00,2026-06-01T16:25:00,490,1,"Air France, KLM",303.57,304 €,2,"10413-2606010815--32677,-32132-1-11493-2606011625"
FR,CDG,IT,FCO,2026-06-01T06:45:00,2026-06-01T19:25:00,760,1,SWISS,196.6,197 €,2,10413-2606010645--31799-1-11493-2606011925
FR,CDG,IT,FCO,2026-06-01T19:40:00,2026-06-02T08:50:00,790,1,SWISS,191.42,192 €,2,10413-2606011940--31799-1-11493-2606020850
FR,CDG,IT,FCO,2026-06-01T06:25:00,2026-06-01T18:15:00,710,1,Lufthansa,213.67,214 €,2,10413-2606010625--32090-1-11493-2606011815
FR,CDG,IT,FCO,2026-06-01T14:05:00,2026-06-01T21:30:00,445,1,Aegean Airlines,347,347 €,2,10413-2606011405--32756-1-11493-2606012130
FR,CDG,IT,FCO,2026-06-01T20:15:00,2026-06-02T11:05:00,890,1,Scandinavian Airlines,174.11,175 €,2,10413-2606012015--31901-1-11493-2606021105
FR,CDG,IT,FCO,2026-06-01T19:55:00,2026-06-02T09:05:00,790,1,Lufthansa,204.45,205 €,2,10413-2606011955--32090-1-11493-2606020905
FR,CDG,IT,FCO,2026-06-01T09:55:00,2026-06-01T16:55:00,420,1,Austrian Airlines,390.71,391 €,2,10413-2606010955--32544-1-11493-2606011655
FR,CDG,IT,FCO,2026-06-01T10:30:00,2026-06-01T19:20:00,530,1,Scandinavian Airlines,322,322 €,2,10413-2606011030--31901-1-11493-2606011920
FR,CDG,IT,FCO,2026-06-01T08:20:00,2026-06-01T19:15:00,655,1,Eurowings,266.04,267 €,2,10413-2606010820--32332-1-11493-2606011915
FR,CDG,IT,FCO,2026-06-01T12:50:00,2026-06-01T20:05:00,435,1,Luxair,401.25,402 €,2,10413-2606011250--32086-1-11493-2606012005
FR,CDG,IT,FCO,2026-06-01T14:35:00,2026-06-01T20:30:00,355,1,Air Europa,500.54,501 €,2,10413-2606011435--32680-1-11493-2606012030
FR,CDG,IT,FCO,2026-06-01T10:45:00,2026-06-01T18:00:00,435,1,Finnair,409.52,410 €,2,10413-2606011045--32317-1-11493-2606011800
FR,CDG,IT,FCO,2026-06-01T16:15:00,2026-06-01T20:35:00,260,1,SWISS,701.98,702 €,2,10413-2606011615--31799-1-11493-2606012035
FR,CDG,IT,FCO,2026-06-01T07:20:00,2026-06-01T18:35:00,675,1,Scandinavian Airlines,273.92,274 €,2,10413-2606010720--31901-1-11493-2606011835
FR,CDG,IT,FCO,2026-06-01T10:35:00,2026-06-01T19:20:00,525,1,British Airways,352.7,353 €,2,10413-2606011035--32480-1-11493-2606011920
FR,CDG,IT,FCO,2026-06-01T09:55:00,2026-06-01T17:10:00,435,1,"Brussels Airlines, ITA Airways",435.74,436 €,2,"10413-2606010955--32478,-30727-1-11493-2606011710"
